南方航空,CZ8255,32L(中型),美兰国际机场,17:05,禄口国际机场T2,19:55,1,unknown,unknown,noshare,¥680,经济舱3.5折
中国国航,CA3508,空中客车 A320(中型),美兰国际机场,19:15,禄口国际机场T2,00:05,2,宜春,unknown,共享,¥780,经济舱4.0折
海南航空,HU7089,波音 737-800(中型),美兰国际机场,06:55,禄口国际机场T2,09:40,1,unknown,unknown,noshare,¥800,经济舱4.1折
南方航空,CZ6190,空中客车 A319(中型),美兰国际机场,14:00,禄口国际机场T2,16:45,1,unknown,unknown,noshare,¥1120,经济舱5.8折
东方航空 东方航空,MU5682 MU2728,,美兰国际机场,13:55,禄口国际机场T2,00:20,3,长沙,停留6h55m,noshare,¥820,"经济舱
经济舱"
东方航空 东方航空,MU2318 MU2774,,美兰国际机场,13:05,禄口国际机场T2,19:05,3,南宁,停留2h30m,noshare,¥1400,"经济舱
经济舱"
东方航空 东方航空,MU5682 MU2728,,美兰国际机场,13:55,禄口国际机场T2,00:20,3,长沙,停留6h55m,noshare,¥1750,"公务舱
公务舱"
东方航空 东方航空,MU2318 MU2774,,美兰国际机场,13:05,禄口国际机场T2,19:05,3,南宁,停留2h30m,noshare,¥1920,"头等舱
头等舱"
首都航空 高铁,首都航空 JD5747 G7266,,美兰国际机场,10:05,南京南,15:31,3,合肥,停留1h57m,noshare,¥592,二等座+经济舱
海南航空 动车,海南航空 HU7335 D2374,,美兰国际机场,15:55,南京南,21:54,3,合肥,停留2h27m,noshare,¥599,二等座+经济舱
海南航空 高铁,海南航空 HU7339 G580,,美兰国际机场,15:30,南京南,20:40,3,合肥,停留1h37m,noshare,¥602,二等座+经济舱
海南航空,HU7241,波音 737-800(中型),美兰国际机场,14:20,中川机场T1,19:15,2,绵阳,unknown,noshare,¥1090,经济舱4.8折
南方航空,CZ8573,空中客车 A320(中型),美兰国际机场,09:00,中川机场T2,11:50,1,unknown,unknown,noshare,¥1120,经济舱4.9折
海南航空,HU7533,波音 737-800(中型),美兰国际机场,06:55,中川机场T1,11:50,2,桂林,unknown,noshare,¥1230,经济舱5.4折
东方航空 东方航空,MU2172 MU2326,,美兰国际机场,18:35,中川机场T2,18:50,3,西安,停留18h40m,noshare,¥950,"经济舱
经济舱"
河北航空 北部湾航空,NS3290 GX8807,,美兰国际机场,13:25,中川机场T1,19:10,3,遵义,停留1h45m,noshare,¥1160,"经济舱4.9折
经济舱4.7折"
祥鹏航空 瑞丽航空,8L9972 DR6563,,美兰国际机场,20:15,中川机场T2,08:50,3,昆明,停留8h20m,noshare,¥1411,"经济舱6.7折
经济舱2.6折"
祥鹏航空 西部航空,8L9674 PN6313,,南郊机场,21:10,桃仙国际机场T3,08:30,3,郑州,停留7h25m,noshare,¥780,"经济舱2.8折
经济舱3.5折"
祥鹏航空 南方航空,8L9549 CZ8569,,南郊机场,07:05,桃仙国际机场T3,16:25,3,郑州,停留5h20m,noshare,¥1010,"经济舱2.9折
经济舱5.1折"
春秋航空 长安航空,9C8604 9H8339,,南郊机场,11:50,桃仙国际机场T3,19:20,3,石家庄,停留3h35m,noshare,¥1070,"经济舱5.0折
经济舱3.3折"
四川航空 昆明航空,3U8584 KY9365,,南郊机场,14:00,桃仙国际机场T3,20:30,3,郑州,停留2h25m,共享,¥1333,"经济舱6.8折
经济舱4.3折"
普通列车 成都航空,K389 成都航空 EU2755,,绵阳,03:01,桃仙国际机场T3,12:50,3,成都,停留2h46m,noshare,¥1178.5,硬座+经济舱
普通列车 四川航空,K2631 四川航空 3U8969,,绵阳,08:31,桃仙国际机场T3,17:45,3,成都,停留2h45m,noshare,¥1418.5,硬座+经济舱
普通列车 中国国航,K389 中国国航 CA4185,,绵阳,03:01,桃仙国际机场T3,11:15,3,成都,停留3h26m,noshare,¥1428.5,硬座+经济舱
大巴 四川航空,0201 四川航空 3U8969,,平政汽车站,08:20,桃仙国际机场T3,17:45,3,双流机场,停留2h05m,noshare,¥1450,大巴+经济舱
大巴 成都航空,0201 成都航空 EU2765,,平政汽车站,08:20,桃仙国际机场T3,19:10,3,双流机场,停留2h45m,noshare,¥1480,大巴+经济舱
天津航空,GS7578,机型未定(小型),龙嘉国际机场,17:00,地窝堡国际机场T1,00:10,2,天津,unknown,noshare,¥2390,经济舱7.6折
南方航空,CZ6453,空中客车 A320(中型),龙嘉国际机场,16:40,地窝堡国际机场T3,23:35,2,西宁,unknown,noshare,¥2400,经济舱7.6折
南方航空,CZ6181,空中客车 A319(中型),龙嘉国际机场,07:50,地窝堡国际机场T3,14:45,2,呼和浩特,unknown,noshare,¥2560,经济舱8.1折
东方航空 东方航空,MU2142 MU2299,,龙嘉国际机场,15:20,地窝堡国际机场T2,20:25,3,西安,停留20h35m,noshare,¥2160,"经济舱
经济舱"
东方航空 东方航空,MU2272 MU2299,,龙嘉国际机场,17:10,地窝堡国际机场T2,20:25,3,西安,停留20h05m,noshare,¥2210,"经济舱
经济舱"
南方航空 南方航空,CZ6143 CZ6912,,龙嘉国际机场,07:35,地窝堡国际机场T3,01:55,3,北京,停留12h25m,noshare,¥2320,"经济舱4.0折
经济舱6.5折"
南方航空 海南航空,CZ8519 HU7880,,龙嘉国际机场,09:10,地窝堡国际机场T2,23:50,3,太原,停留7h50m,noshare,¥2340,"经济舱6.1折
经济舱6.8折"
山东航空 海南航空,SC8866 HU7844,,龙嘉国际机场,15:25,地窝堡国际机场T2,00:20,3,太原,停留2h15m,noshare,¥2460,"经济舱6.9折
经济舱6.8折"
东方航空 东方航空,MU2142 MU2299,,龙嘉国际机场,15:20,地窝堡国际机场T2,20:25,3,西安,停留20h35m,noshare,¥3200,"头等舱
公务舱"
上海航空 上海航空,FM9180 FM9221,,龙嘉国际机场,19:55,地窝堡国际机场T2,00:50,3,上海,停留18h55m,noshare,¥3430,"经济舱
经济舱"
上海航空 上海航空,FM9180 FM9219,,龙嘉国际机场,19:55,地窝堡国际机场T2,19:20,3,上海,停留14h50m,noshare,¥3920,"经济舱
经济舱"
东方航空 东方航空,MU2272 MU2299,,龙嘉国际机场,17:10,地窝堡国际机场T2,20:25,3,西安,停留20h05m,noshare,¥6000,"公务舱
公务舱"
上海航空 上海航空,FM9180 FM9221,,龙嘉国际机场,19:55,地窝堡国际机场T2,00:50,3,上海,停留18h55m,noshare,¥11370,"头等舱
头等舱"
上海航空 上海航空,FM9180 FM9219,,龙嘉国际机场,19:55,地窝堡国际机场T2,19:20,3,上海,停留14h50m,noshare,¥11370,"头等舱
头等舱"
普通列车 南方航空,Z178 南方航空 CZ8287,,长春,01:12,地窝堡国际机场T3,15:00,3,沈阳,停留5h13m,noshare,¥2223.5,硬座+经济舱
普通列车 南方航空,T302 南方航空 CZ6495,,长春,10:30,地窝堡国际机场T3,00:15,3,沈阳,停留3h20m,noshare,¥2223.5,硬座+经济舱
北部湾航空,GX8970,巴西航空工业公司190(中型),栎社国际机场,13:55,吴圩国际机场T2,18:05,2,南昌,unknown,noshare,¥1260,经济舱7.6折
海南航空,HU1870,巴西航空工业公司190(中型),栎社国际机场,13:55,吴圩国际机场T2,18:05,2,南昌,unknown,共享,¥1260,经济舱7.6折
首都航空 北部湾航空,JD5540 GX8862,,栎社国际机场,17:45,吴圩国际机场T2,00:30,3,海口,停留3h00m,noshare,¥654,"经济舱2.7折
经济舱1.8折"
